name,code_region,code,address_line_1,address_line_2,postal_code,city,country,full_address,latitude,longitude
Merignac,GCA,GCA03200,22 place Jean Jaurès,,33700,Merignac,FR,22 place Jean Jaurès 33700 Merignac,44.85132,-0.644418
Meru,GPVL,PVL01614,21 place De L'Hôtel De Ville,,60110,Meru,FR,21 place De L'Hôtel De Ville 60110 Meru,49.236051,2.135043
Mésanger,GLB,LBR46096,31 place De L Eglise,,44522,Mesanger,FR,31 place De L Eglise 44522 Mesanger,47.432121,-1.231217
Meslay Du Maine,GCM,GCM01085,9 place De La Poste,,53170,Meslay Du Maine,FR,9 place De La Poste 53170 Meslay Du Maine,47.951182,-0.552803
MESNIL EN OUCHE,GCM,GCM00301,19 rue De L'Eglise,,27330,Mesnil En Ouche,FR,19 rue De L'Eglise 27330 Mesnil En Ouche,48.981496,0.643551
MESNILS SUR ITON,GCM,GCM00295,place De La Halle,,27240,Mesnils Sur Iton,FR,place De La Halle 27240 Mesnils Sur Iton,48.869689,1.074152
Messac,GLB,LBR37176,120 avenue De La Gare,,35480,Guipry Messac,FR,120 avenue De La Gare 35480 Guipry Messac,47.821621,-1.818564
Metz St Louis,GGE,GGE05727,1 rue Royale,,57000,Metz,FR,1 rue Royale 57000 Metz,49.115413,6.178873
Meulan,GPVL,PVL01719,8 place Brigitte Gros,,78250,Meulan En Yvelines,FR,8 place Brigitte Gros 78250 Meulan En Yvelines,49.00462,1.909917
Meung S/ Loire,GPVL,PVL01355,90 rue D'Orléans,,45130,Meung Sur Loire,FR,90 rue D'Orléans 45130 Meung Sur Loire,47.832449,1.704018
Meursault,GGE,GGE02122,3 place Hôtel De Ville,,21190,Meursault,FR,3 place Hôtel De Ville 21190 Meursault,46.978335,4.769615
Meymac,GOC,GOC86108,23 Grande Rue,,19250,Meymac,FR,23 Grande Rue 19250 Meymac,45.539562,2.140688
Meyssac,GOC,GOC86045,22 avenue Quercy,,19500,Meyssac,FR,22 avenue Quercy 19500 Meyssac,45.056433,1.671074
Meze,GMED,GSU85738,place Baptiste Milhau,,34140,Meze,FR,place Baptiste Milhau 34140 Meze,43.427093,3.604808
Mielan,GOC,GOC89062,place Jean Senac,,32170,Mielan,FR,place Jean Senac 32170 Mielan,43.429995,0.307515
Millas,GMED,GSU86267,50 avenue Jean Jaurès,,66170,Millas,FR,50 avenue Jean Jaurès 66170 Millas,42.691901,2.695808
Millau,GOC,GOC84269,place de la Tine,,12100,Millau,FR,place de la Tine 12100 Millau,44.100722,3.079355
Mimizan,GOC,GOC90119,4 avenue De Bayonne,,40200,Mimizan,FR,4 avenue De Bayonne 40200 Mimizan,44.202335,-1.229759
Miramont,GCA,GCA03240,32 rue Du Temple,,47800,Miramont De Guyenne,FR,32 rue Du Temple 47800 Miramont De Guyenne,44.600999,0.362093
Mirande,GOC,GOC89009,6 rue Gambetta,,32300,Mirande,FR,6 rue Gambetta 32300 Mirande,43.514514,0.403371
